date,count,username,secretion_type
2023-04-14,2,quimikuaxh,"0"
2023-04-15,1,HelloImNavy,"0"
2023-04-15,1,Jotajotahs,"0"
2023-04-15,1,Thybak,"0"
2023-04-15,2,Zeonx91,"0"
2023-04-15,1,quimikuaxh,"0"
2023-04-16,1,AntiaMsv,"0"
2023-04-16,1,HelloImNavy,"0"
2023-04-16,1,Jotajotahs,"0"
2023-04-16,3,Thybak,"0"
2023-04-16,1,Zeonx91,"0"
2023-04-16,2,esloooz,"0"
2023-04-16,2,quimikuaxh,"0"
2023-04-17,3,HelloImNavy,"0"
2023-04-17,1,Jotajotahs,"0"
2023-04-17,1,Thybak,"0"
2023-04-17,1,Zeonx91,"0"
2023-04-17,2,esloooz,"0"
2023-04-17,2,quimikuaxh,"0"
2023-04-18,2,AntiaMsv,"0"
2023-04-18,1,HelloImNavy,"0"
2023-04-18,1,Jotajotahs,"0"
2023-04-18,3,Thybak,"0"
2023-04-18,1,Zeonx91,"0"
2023-04-18,1,quimikuaxh,"0"
2023-04-19,1,AntiaMsv,"0"
2023-04-19,1,Jotajotahs,"0"
2023-04-19,1,Thybak,"0"
2023-04-19,2,Zeonx91,"0"
2023-04-19,1,quimikuaxh,"0"
2023-04-20,1,AntiaMsv,"0"
2023-04-20,1,HelloImNavy,"0"
2023-04-20,1,Jotajotahs,"0"
2023-04-20,1,Thybak,"0"
2023-04-20,2,Zeonx91,"0"
2023-04-20,1,esloooz,"0"
2023-04-20,1,quimikuaxh,"0"
2023-04-21,2,AntiaMsv,"0"
2023-04-21,1,HelloImNavy,"0"
2023-04-21,3,Jotajotahs,"0"
2023-04-21,1,Thybak,"0"
2023-04-21,1,Zeonx91,"0"
2023-04-21,1,esloooz,"0"
2023-04-21,1,quimikuaxh,"0"
2023-04-22,2,AntiaMsv,"0"
2023-04-22,1,HelloImNavy,"0"
2023-04-22,1,Jotajotahs,"0"
2023-04-22,2,Thybak,"0"
2023-04-22,1,Zeonx91,"0"
2023-04-22,1,esloooz,"0"
2023-04-22,1,quimikuaxh,"0"
2023-04-23,1,HelloImNavy,"0"
2023-04-23,1,Jotajotahs,"0"
2023-04-23,3,Thybak,"0"
2023-04-23,1,Zeonx91,"0"
2023-04-23,2,esloooz,"0"
2023-04-23,1,quimikuaxh,"0"
2023-04-24,1,AntiaMsv,"0"
2023-04-24,1,HelloImNavy,"0"
2023-04-24,1,Jotajotahs,"0"
2023-04-24,1,Thybak,"0"
2023-04-24,1,Zeonx91,"0"
2023-04-24,1,esloooz,"0"
2023-04-24,2,quimikuaxh,"0"
